Name, Formula, Charge, Type
ammonium, NH4, +1, standard
caesium, Cs, +1, standard
copper(I), Cu, +1, standard
bromide, Br, -1, standard
ethanoate/acetate, CH3COO, -1, standard
hydrogen, H, +1, standard
lithium, Li, +1, standard
sodium, Na, +1, standard
potassium, K, +1, standard
silver, Ag, +1, standard
barium, Ba, +2, standard
calcium, Ca, +2, standard
cobalt(II), Co, +2, standard
copper(II), Cu, +2, standard
iron(II), Fe, +2, standard
lead(II), Pb, +2, standard
magnesium, Mg, +2, standard
manganese(II), Mn, +2, standard
nickel(II), Ni, +2, standard
strontium, Sr, +2, standard
zinc, Zn, +2, standard
aluminium, Al, +3, standard
chromium(III), Cr, +3, standard
iron(III), Fe, +3, standard
chloride, Cl, -1, standard
cyanide, CN, -1, standard
fluoride, F, -1, standard
hydrogen carbonate/bicarbonate, HCO3, -1, standard
hydrogen sulfate, HSO4, -1, standard
hydroxide, OH, -1, standard
iodide, I, -1, standard
nitrate, NO3, -1, standard
permanganate, MnO4, -1, standard
carbonate, CO3, -2, standard
chromate, CrO4, -2, standard
dichromate, Cr2O7, -2, standard
oxalate, C2O4, -2, standard
oxide, O, -2, standard
sulfate, SO4, -2, standard
sulfide, S, -2, standard
sulfite, SO3, -2, standard
nitride, N, -3, standard
phosphate, PO4, -3, standard
phosphide, P, -3, standard
rubidium, Rb, +1, extended
gold(I), Au, +1, extended
mercury(I), Hg2, +2, extended
cadmium, Cd, +2, extended
tin(II), Sn, +2, extended
lead(IV), Pb, +4, extended
tin(IV), Sn, +4, extended
hydride, H, -1, extended
amide, NH2, -1, extended
cyanate, OCN, -1, extended
thiocyanate, SCN, -1, extended
chlorate, ClO3, -1, extended
chlorite, ClO2, -1, extended
hypochlorite, ClO, -1, extended
perchlorate, ClO4, -1, extended
nitrite, NO2, -1, extended
dihydrogen phosphate, H2PO4, -1, extended
hydrogen phosphate, HPO4, -2, extended
peroxide, O2, -2, extended
thiosulfate, S2O3, -2, extended
pyrophosphate, P2O7, -4, extended
